날짜,건축관,공학1관,대학극장,동원장보고관	,복합교육센터	,학술정보관	,컨벤션홀	,가온관	,건축원실 및 창고,	고가수조 및 펌프실,	고형폐기물창고,	공학2관	,구 변전소,	나래관	,나비센터	,누리관,	단위변전실,	대연위험물저장소,	대학본부,	디자인관,	미래관	,사료보관실,	선박공작실,	수산과학관	,수산질병관리원	,수위실	,수조실험동,	아름관,	안전관리관,	양어장관리사,	양어장발전기실	,양어장보일러실,	웅비관	,위드센터	,인문사회경영관	,자연과학1관	,자연과학2관,	장영실관	,청운관	,체육관,	충무관,	한솔관,	한울관	,해양공동연구관,	해양수산 격리사육동	,향파관	,수상레저관	,호연관,	환경해양관	,총 사용 전력량,	배출계수
2024-01-01,31691.22878,342727.6598,2786.63091,17270.39007,163040.1041,109979.1651,1631.247898,133093.1122,275.4953161,147.3427209,30.63612078,200200.7942,243.746013,53582.04421,15972.05579,41647.16068,61.27224155,36.10685663,83726.9759,5761.269397,105697.2269,32.78064923,183.1289966,60133.8033,8322.991521,25.66989996,2243.850758,7097.163739,4206.952105,1721.528522,32.67852883,20.52620092,23122.81992,8163.278859,374943.0295,41092.28931,27617.46317,36754.90034,26188.46359,4912.53335,14593.75458,13377.99897,4786.878553,46279.86238,114.9105645,40696.82443,67459.12207,31463.16356,97009.56748,2252199.6,0.4517
2024-02-01,27046.42289,292495.9864,2378.210026,14739.16574,139144.2293,93860.13493,1392.165031,113586.4003,235.1175107,125.7475236,26.14595616,170858.4852,208.0215252,45728.82412,13631.12103,35543.16962,52.29191231,30.8148769,71455.58203,4916.872413,90205.77638,27.97617309,156.2888053,51320.32858,7103.137274,21.90760651,1914.982121,6056.972203,3590.3627,1469.213729,27.8890199,17.51779063,19733.83772,6966.832802,319989.7298,35069.62264,23569.72629,31367.94047,22350.16717,4192.530853,12454.82971,11417.2606,4085.292577,39496.88218,98.0687667,34732.11883,57572.01641,26851.78391,82791.41856,1922107.32,0.4517
2024-03-01,28101.30788,303904.1356,2470.966768,15314.0338,144571.2375,97520.93874,1446.463302,118016.5827,244.2877413,130.6520234,27.16572047,177522.4367,216.1349376,47512.37423,14162.7723,36929.45114,54.33144094,32.01674198,74242.54656,5108.643981,93724.05013,29.0673209,162.3844992,53321.96276,7380.179194,22.7620635,1989.671698,6293.210804,3730.396735,1526.517112,28.9767685,18.20103271,20503.51175,7238.558472,332470.2107,36437.43452,24489.01054,32591.37655,23221.88525,4356.051105,12940.60238,11862.56521,4244.63024,41037.36939,101.8937187,36086.76714,59817.48364,27899.07745,86020.51193,1997074.8,0.4517
2024-04-01,23132.00694,250163.1812,2034.012818,12605.97328,119005.951,80275.80216,1190.677647,97147.09446,201.089065,107.5481442,22.36186433,146130.2177,177.9146686,39110.51311,11658.29536,30399.02355,44.72372867,26.35505439,61113.84956,4205.255802,77150.33718,23.92719484,133.6692007,43892.76179,6075.103588,18.73692902,1637.827668,5180.349492,3070.73121,1256.575124,23.85265529,14.9824491,16877.76876,5958.526398,273677.7681,29994.0128,20158.49099,26828.07334,19115.43809,3585.747853,10652.24812,9764.845893,3494.030121,33780.51718,83.87532065,29705.35576,49239.64581,22965.53797,70809.05585,1643921.64,0.4517
2024-05-01,23064.87702,249437.1986,2028.110039,12569.39029,118660.5915,80042.83888,1187.222257,96865.17009,200.5054973,107.2360356,22.2969694,145706.1425,177.3983538,38997.01299,11624.46256,30310.80448,44.59393879,26.27857107,60936.49496,4193.051998,76926.44412,23.85775725,133.2812879,43765.38341,6057.473418,18.68255377,1633.074632,5165.31593,3061.819837,1252.928497,23.78343402,14.9389695,16828.78886,5941.234539,272883.5454,29906.96909,20099.99033,26750.2173,19059.96439,3575.341883,10621.33491,9736.507957,3483.89032,33682.48489,83.63191144,29619.14975,49096.75057,22898.89115,70603.56541,1639150.92,0.4517
2024-06-01,28302.29745,306077.7555,2488.639915,15423.56469,145605.2574,98218.43979,1456.808872,118860.6752,246.0349656,131.5864886,27.36001842,178792.1342,217.6808041,47852.19798,14264.069,37193.58242,54.72003684,32.245736,74773.55308,5145.182642,94394.39462,29.27521971,163.5459253,53703.33856,7432.964604,22.92486509,2003.902469,6338.221867,3757.077729,1537.435252,29.18401965,18.33121234,20650.15945,7290.330965,334848.1444,36698.04675,24664.16381,32824.48054,23387.97563,4387.206981,13033.15772,11947.41009,4274.989198,41330.88182,102.6224953,36344.87128,60245.31748,28098.6206,86635.75825,2011358.52,0.4517
2024-07-01,32287.73374,349178.6166,2839.081989,17595.46025,166108.91,112049.2369,1661.951897,135598.2439,280.6807989,150.1160644,31.21276607,203969.0534,248.3338977,54590.58684,16272.6882,42431.06016,62.42553214,36.7864743,85302.91847,5869.71031,107686.7023,33.3976597,186.5759236,61265.66576,8479.650191,26.15306906,2286.085413,7230.749388,4286.137037,1753.931819,33.29361714,20.91255327,23558.04687,8316.931353,382000.3569,41865.74479,28137.29009,37446.71574,26681.3933,5004.999014,14868.44405,13629.80501,4876.979092,47150.96043,117.073457,41462.83631,68728.8646,32055.37578,98835.52029,2294591.4,0.4517
2024-08-01,33909.13001,366713.3533,2981.652446,18479.05319,174450.4173,117676.0243,1745.410298,142407.5941,294.7757739,157.6544574,32.78018059,214211.7873,260.8045053,57331.96766,17089.85536,44561.82484,65.56036118,38.63378426,89586.58344,6164.470125,113094.4159,35.07479323,195.945225,64342.24966,8905.473611,27.46640028,2400.885987,7593.856635,4501.374398,1842.009184,34.96552596,21.96272099,24741.0636,8734.583505,401183.306,43968.12097,29550.26313,39327.18112,28021.25543,5256.335537,15615.09416,14314.25426,5121.886827,49518.74481,122.9525462,43544.9796,72180.22869,33665.10371,103798.7532,2409819.12,0.4517
2024-09-01,32226.57621,348517.223,2833.704367,17562.13197,165794.2763,111836.9998,1658.803926,135341.4017,280.1491498,149.8317234,31.15364469,203582.7073,247.8635183,54487.18456,16241.86543,42350.68974,62.30728937,36.71679552,85141.3427,5858.59225,107482.7285,33.33439981,186.2225225,61149.61994,8463.588536,26.10353146,2281.755244,7217.053328,4278.018488,1750.609624,33.23055433,20.87294194,23513.4246,8301.177911,381276.7943,41786.44516,28083.99409,37375.78638,26630.85498,4995.518839,14840.28112,13603.98824,4867.741405,47061.64986,116.8517033,41384.29985,68598.68243,31994.65837,98648.31186,2290245.12,0.4517
2024-10-01,26797.13746,289800.0666,2356.290192,14603.31564,137861.7444,92995.03111,1379.33352,112539.4805,232.9504453,124.5885154,25.90497028,169283.6917,206.1042019,45307.34401,13505.48372,35215.57013,51.80994057,30.53085783,70796.97977,4871.553864,89374.35458,27.7183182,154.8482998,50847.31187,7037.668039,21.70568527,1897.331833,6001.145416,3557.270519,1455.672065,27.6319683,17.35633009,19551.952,6902.619878,317040.4017,34746.38781,23352.48539,31078.82385,22144.16688,4153.888522,12340.03422,11312.02832,4047.638654,39132.84154,97.16487214,34411.99476,57041.37823,26604.29246,82028.3345,1904391.36,0.4517
2024-11-01,24919.85016,269497.9733,2191.219066,13580.27282,128203.7687,86480.21619,1282.703598,104655.4691,216.6309815,115.8604026,24.09018421,157424.4353,191.6654656,42133.31463,12559.35009,32748.52518,48.18036843,28.39200282,65837.2608,4530.274642,83113.18802,25.77649711,144.0003222,47285.17718,6544.640571,20.18508228,1764.413272,5580.732075,3308.064096,1353.694207,25.6961965,16.14042342,18182.22991,6419.053279,294829.9726,32312.21167,21716.51497,28901.5808,20592.84584,3862.885717,11475.54675,10519.55834,3764.079238,36391.37012,90.35793686,32001.2447,53045.31502,24740.51501,76281.79717,1770978.24,0.4517
2024-12-01,32196.14182,348188.0876,2831.028251,17545.5465,165637.7022,111731.3823,1657.237371,135213.5869,279.8845804,149.6902241,31.12422356,203390.4462,247.6294389,54435.72752,16226.5268,42310.69426,62.24844712,36.68212062,85060.93624,5853.059466,107381.2231,33.30291921,186.0466562,61091.87097,8455.595625,26.07887959,2279.600382,7210.23763,4273.978379,1748.95637,33.1991718,20.85322978,23491.2188,8293.338378,380916.7211,41746.98254,28057.47191,37340.48913,26605.70512,4990.801131,14826.26614,13591.14079,4863.144369,47017.2054,116.74135,41345.21701,68533.89865,31964.443,98555.14958,2288082.24,0.4517
